Image	Model1	Model2	Model3	Model4	MajorityVoting	WeightedVoting
2430.jpg	78.36	43.91	69.44	25.66	72.25	78.51
2431.jpg	57.76	43.38	64.36	37.71	56.65	58.53
2432.jpg	67.86	64.72	66.70	47.97	68.70	69.85
2433.jpg	79.96	43.67	56.33	43.12	51.91	81.69
2434.jpg	74.13	62.33	59.16	47.82	64.45	77.30
2435.jpg	78.88	40.97	36.90	39.66	43.63	79.47
2436.jpg	54.13	35.89	39.17	33.18	41.46	50.32
2437.jpg	36.57	11.70	12.79	9.28	12.90	35.87
2438.jpg	53.69	53.59	53.64	47.87	54.55	54.02
2439.jpg	83.80	75.92	82.06	63.34	82.88	84.42
244.jpg	65.05	57.66	64.00	47.76	62.86	65.35
2440.jpg	76.80	76.99	72.25	72.26	75.48	78.15
2441.jpg	91.11	63.45	90.04	63.69	90.83	93.26
2442.jpg	87.76	49.33	70.50	26.07	75.08	87.99
2443.jpg	89.10	68.97	79.29	57.08	87.26	89.36
2444.jpg	72.91	54.40	68.23	45.43	61.68	73.11
2445.jpg	68.64	63.48	60.42	54.27	68.31	69.10
2446.jpg	74.63	61.48	72.63	57.90	73.97	74.84
2447.jpg	80.35	26.61	61.15	22.45	46.65	78.03
2448.jpg	83.48	45.47	61.14	39.17	62.67	82.94
2449.jpg	89.00	36.49	67.00	33.80	71.62	89.34
245.jpg	59.34	52.06	50.60	50.31	56.98	59.85
2450.jpg	64.67	45.23	60.68	38.33	46.71	66.17
2451.jpg	61.83	57.13	54.63	40.13	59.33	63.97
2452.jpg	62.08	56.13	60.05	58.16	62.35	62.67
2453.jpg	81.10	72.55	71.87	72.39	75.34	81.30
2454.jpg	78.96	44.39	66.90	38.74	70.84	79.53
2455.jpg	85.69	82.83	83.01	60.50	85.63	86.08
2456.jpg	76.17	72.77	77.91	73.07	77.25	76.58
2457.jpg	64.87	51.40	46.84	25.95	56.39	65.43
2458.jpg	52.59	40.50	48.75	29.92	44.45	51.50
2459.jpg	52.89	51.42	41.27	28.65	47.27	53.19
246.jpg	71.79	58.58	63.61	42.60	66.72	73.01
2460.jpg	67.40	67.29	67.61	67.00	69.00	68.06
2461.jpg	47.86	46.04	48.85	34.32	49.97	49.11
2462.jpg	75.24	67.36	71.33	50.86	71.65	74.49
2463.jpg	75.93	74.43	63.31	60.98	74.63	76.73
2464.jpg	61.68	39.72	48.79	40.09	52.82	61.45
2465.jpg	75.33	39.29	53.12	35.57	62.18	75.89
2466.jpg	70.38	40.31	43.20	37.37	49.38	63.32
2467.jpg	59.43	49.09	50.76	49.83	54.99	60.05
2468.jpg	63.11	16.12	19.83	15.93	22.60	62.33
2469.jpg	64.65	74.55	64.76	58.35	75.28	66.92
247.jpg	81.22	80.43	84.86	79.62	85.29	83.83
2470.jpg	39.80	26.99	25.87	16.07	27.63	32.92
2471.jpg	61.60	55.74	59.37	57.59	60.08	61.20
2472.jpg	65.14	40.89	48.69	38.02	46.15	65.52
2473.jpg	74.94	60.88	61.86	51.22	72.38	76.72
2474.jpg	91.11	71.79	76.83	71.40	79.51	91.30
2475.jpg	91.20	61.54	83.10	57.98	85.96	91.65
2476.jpg	56.48	26.53	26.99	22.05	44.36	56.38
2477.jpg	38.10	44.18	39.57	44.25	43.14	39.95
2478.jpg	64.64	49.65	43.58	33.51	57.63	65.14
2479.jpg	66.26	47.01	60.15	38.35	54.85	66.58
248.jpg	50.61	12.38	45.17	12.05	39.63	50.62
2480.jpg	79.76	50.43	53.10	56.27	62.23	79.23
2481.jpg	88.41	67.03	53.73	32.72	76.83	89.61
2482.jpg	43.39	16.32	30.53	17.27	32.13	43.27
2483.jpg	90.37	62.82	65.58	60.73	68.15	90.37
2484.jpg	42.06	36.64	36.45	29.26	38.41	42.40
2485.jpg	57.46	56.63	57.46	51.95	57.18	57.46
2486.jpg	86.18	64.57	71.97	60.27	75.39	86.85
2487.jpg	55.37	56.05	56.60	53.85	58.79	57.28
2488.jpg	62.65	20.56	34.21	2.99	36.19	51.82
2489.jpg	53.64	47.96	49.85	30.83	49.41	53.99
249.jpg	57.15	43.20	48.76	38.05	51.13	54.49
2490.jpg	83.84	77.90	76.47	65.28	77.36	83.52
2491.jpg	79.56	71.53	74.90	70.33	79.37	79.69
2492.jpg	68.72	47.65	56.87	47.11	49.89	69.35
2493.jpg	70.68	56.01	71.10	63.38	68.80	71.00
2494.jpg	82.69	72.90	75.23	65.89	81.89	83.62
2495.jpg	62.63	18.45	25.78	17.29	25.79	62.04
2496.jpg	52.61	43.72	50.91	49.46	52.35	53.34
2497.jpg	55.87	58.83	60.54	54.10	66.53	58.83
2498.jpg	78.65	61.09	66.83	58.35	68.89	78.99
2499.jpg	80.73	53.82	76.28	42.21	75.28	81.72
25.jpg	69.11	50.42	46.89	42.39	52.07	69.64
250.jpg	80.15	74.40	70.99	69.83	80.29	83.68
2500.jpg	92.87	70.12	86.91	48.18	87.36	93.58
2501.jpg	79.34	52.92	66.74	42.07	75.43	78.28
2502.jpg	81.99	75.52	75.09	71.60	77.20	79.06
2503.jpg	80.16	63.85	76.19	65.75	77.20	81.02
2504.jpg	43.65	42.27	38.77	41.55	43.34	43.95
2505.jpg	70.45	54.63	49.71	28.98	56.72	73.52
2506.jpg	86.50	60.92	56.75	45.21	66.56	86.15
2507.jpg	56.54	47.59	50.16	47.29	54.27	56.85
2508.jpg	56.86	39.40	41.14	38.17	42.23	57.69
2509.jpg	94.25	89.46	85.84	78.85	90.77	94.81
251.jpg	78.41	48.86	54.52	56.21	62.57	78.37
2510.jpg	75.95	46.97	45.51	41.52	53.02	76.46
2511.jpg	84.50	78.80	77.16	68.86	79.10	85.04
2512.jpg	63.75	36.03	45.30	14.76	47.12	63.66
2513.jpg	91.45	48.50	52.46	31.82	65.96	91.56
2514.jpg	80.07	78.40	72.52	67.18	80.53	80.42
2515.jpg	91.56	79.89	75.55	70.89	84.83	92.27
2516.jpg	70.63	66.29	70.32	63.09	66.91	71.01
2517.jpg	78.14	46.20	55.09	31.71	56.73	78.46
2518.jpg	62.47	37.25	56.53	6.39	56.81	60.83
2519.jpg	69.83	37.86	38.82	47.97	44.35	70.36
252.jpg	67.64	56.86	64.79	51.73	67.04	68.18
2520.jpg	74.89	58.14	62.14	54.32	63.82	74.73
2521.jpg	61.52	53.48	46.45	38.01	54.39	62.36
2522.jpg	55.15	44.70	49.86	27.45	48.01	56.24
2523.jpg	70.80	60.98	63.22	59.74	64.73	71.44
2524.jpg	79.50	49.13	50.81	45.81	61.33	80.70
2525.jpg	78.65	67.13	68.58	48.72	70.02	78.97
2526.jpg	28.14	29.71	32.01	32.62	33.62	32.46
2527.jpg	86.75	59.02	66.30	61.95	66.16	87.00
2528.jpg	69.12	60.00	52.65	50.25	58.35	71.18
2529.jpg	86.16	76.79	67.55	71.04	77.88	86.44
253.jpg	55.47	24.86	44.71	35.15	47.16	55.13
2530.jpg	65.68	64.25	64.07	60.53	65.29	66.00
2531.jpg	77.69	41.95	68.32	22.24	70.59	78.18
2532.jpg	84.87	70.01	68.40	45.81	75.55	78.33
2533.jpg	65.42	63.96	62.87	60.58	63.41	66.16
2534.jpg	93.22	59.73	60.30	55.99	68.79	93.29
2535.jpg	80.05	69.23	68.09	63.23	71.83	80.12
2536.jpg	77.74	67.48	72.22	66.40	72.76	77.97
2537.jpg	85.38	72.02	79.62	62.10	82.03	85.66
2538.jpg	73.20	51.45	62.76	31.73	67.42	73.41
2539.jpg	77.75	53.08	74.30	44.04	73.73	78.36
254.jpg	79.26	67.65	57.20	58.12	69.49	79.55
2540.jpg	48.19	30.53	32.60	30.92	37.71	43.06
2541.jpg	70.42	71.23	70.69	55.47	71.87	70.67
2542.jpg	72.77	32.65	47.34	29.74	46.59	72.05
2543.jpg	71.66	32.84	52.18	21.48	57.71	71.68
2544.jpg	88.55	79.29	75.76	65.42	83.95	88.79
2545.jpg	53.33	57.53	59.77	49.23	59.80	56.34
2546.jpg	57.97	36.49	46.35	32.54	43.53	58.98
2547.jpg	69.84	34.14	29.88	28.42	44.37	70.35
2548.jpg	74.85	60.93	63.92	59.21	66.05	75.52
2549.jpg	65.73	65.72	62.50	61.15	65.44	65.58
255.jpg	59.90	57.45	58.86	45.49	59.91	60.44
2550.jpg	74.98	64.83	61.21	61.84	72.91	75.13
2551.jpg	59.72	44.43	45.30	43.87	49.34	59.67
2552.jpg	65.25	57.21	66.61	58.99	65.42	65.59
2553.jpg	72.35	24.00	50.49	22.68	55.73	72.45
2554.jpg	80.34	43.44	59.93	38.51	68.97	80.42
2555.jpg	75.78	54.30	56.74	38.33	59.76	75.93
2556.jpg	69.89	67.51	69.45	53.11	69.36	70.30
2557.jpg	84.50	43.16	59.25	46.56	73.92	84.12
2558.jpg	79.06	70.50	73.54	51.91	74.16	79.05
2559.jpg	73.94	11.62	52.66	9.93	45.54	74.36
256.jpg	65.22	50.64	63.47	50.43	57.73	66.41
2560.jpg	68.28	55.15	63.04	59.25	61.26	68.45
2561.jpg	91.47	58.41	67.34	22.06	77.14	86.33
2562.jpg	72.70	73.24	70.50	54.55	79.70	79.10
2563.jpg	63.27	52.91	56.18	54.99	60.57	63.27
2564.jpg	87.17	80.16	84.64	62.72	85.85	87.21
2565.jpg	92.89	67.76	69.75	73.17	79.01	93.28
2566.jpg	83.24	70.38	79.10	63.21	79.24	83.51
2567.jpg	90.79	64.52	59.43	44.89	84.74	91.09
2568.jpg	82.75	73.16	71.36	69.43	73.86	82.76
2569.jpg	75.50	53.87	56.74	52.35	61.06	75.65
257.jpg	63.38	49.81	53.07	50.21	58.31	64.29
2570.jpg	90.22	87.47	92.57	78.30	92.26	91.05
2571.jpg	60.57	56.38	56.85	51.86	62.32	62.72
2572.jpg	55.16	44.70	49.60	36.93	48.84	52.58
2573.jpg	79.70	61.13	71.60	57.54	71.34	78.96
2574.jpg	71.45	71.86	71.71	70.97	72.09	71.77
2575.jpg	44.06	38.80	41.34	28.61	40.88	44.09
2576.jpg	49.84	48.88	50.72	49.88	50.71	50.89
2577.jpg	89.09	80.23	88.04	59.63	89.17	89.09
2578.jpg	71.05	54.44	70.57	39.88	70.58	71.30
2579.jpg	55.07	50.26	49.98	40.67	50.50	55.31
258.jpg	74.15	64.27	68.24	59.47	68.78	74.57
2580.jpg	74.86	22.13	41.48	8.12	35.96	74.19
2581.jpg	43.32	46.57	46.68	48.41	50.16	44.99
2582.jpg	78.64	40.45	53.23	43.29	53.14	74.17
2583.jpg	75.08	40.64	55.03	44.63	57.14	72.70
2584.jpg	78.80	72.96	73.50	70.19	76.81	79.07
2585.jpg	69.45	59.43	58.81	63.68	68.02	70.33
2586.jpg	51.99	49.13	54.47	37.67	56.30	53.31
2587.jpg	34.54	14.80	13.52	11.76	15.21	31.28
2588.jpg	78.05	65.05	72.24	65.56	74.33	78.87
2589.jpg	91.10	56.69	81.89	79.69	85.89	93.71
259.jpg	51.93	36.76	37.59	18.58	41.18	52.48
2590.jpg	49.82	50.22	50.24	50.01	50.35	52.39
2591.jpg	52.12	48.60	26.20	27.86	36.78	52.29
2592.jpg	57.28	43.64	48.33	28.95	50.89	57.57
2593.jpg	82.32	76.72	75.91	72.46	80.98	82.76
2594.jpg	75.12	66.00	71.38	46.20	72.62	74.94
2595.jpg	76.64	64.08	53.83	30.97	69.72	76.97
2596.jpg	74.98	31.44	61.98	21.94	58.86	75.64
2597.jpg	71.75	51.94	55.97	48.28	64.03	73.69
2598.jpg	54.99	50.93	51.82	53.76	55.27	55.58
2599.jpg	71.96	64.93	75.31	63.27	71.78	73.22
26.jpg	92.28	65.02	76.62	60.53	83.25	92.59
260.jpg	64.69	47.24	46.50	36.36	48.77	65.21
2600.jpg	62.59	46.65	54.94	50.60	56.23	62.72
2601.jpg	65.52	55.54	55.44	48.26	57.95	62.73
2602.jpg	20.32	11.93	18.47	10.33	16.53	20.89
2603.jpg	69.21	59.22	61.35	56.28	62.46	69.23
2604.jpg	72.96	52.05	66.93	46.51	67.77	73.82
2605.jpg	52.68	35.88	44.00	35.38	50.14	53.12
2606.jpg	77.32	60.08	55.61	46.48	65.72	78.65
2607.jpg	88.87	55.76	50.78	39.13	62.17	89.61
2608.jpg	92.16	70.34	74.26	59.15	83.02	92.31
2609.jpg	67.32	48.48	51.75	49.80	57.04	66.73
261.jpg	64.78	67.15	64.37	60.35	66.15	65.33
2610.jpg	48.05	51.57	51.45	49.40	53.22	51.11
2611.jpg	79.05	63.57	75.52	62.52	76.98	79.63
2612.jpg	81.61	64.87	77.98	56.29	77.94	81.21
2613.jpg	60.83	60.33	60.59	59.80	62.29	61.10
2614.jpg	78.60	33.64	38.77	16.27	43.86	78.26
2615.jpg	74.59	70.98	73.92	67.85	74.93	75.17
2616.jpg	76.97	84.68	89.00	71.25	86.99	77.99
2617.jpg	57.36	65.49	56.71	12.99	64.45	57.37
2618.jpg	84.66	77.17	76.33	76.54	80.10	85.41
2619.jpg	85.11	63.47	52.45	49.93	62.45	85.33
262.jpg	57.86	23.67	45.82	20.41	41.98	57.94
2620.jpg	73.57	66.85	70.80	51.60	70.82	73.34
2621.jpg	77.18	55.78	57.93	50.29	65.87	77.39
