Image	Model1	Model2	Model3	Model4	MajorityVoting	WeightedVoting
3619.jpg	62.01	60.18	56.74	55.89	60.17	62.03
362.jpg	86.56	14.49	20.40	16.71	20.56	79.27
3620.jpg	62.19	58.27	86.27	46.55	69.67	62.23
3621.jpg	58.30	24.67	51.64	24.52	45.78	57.58
3622.jpg	92.95	71.00	66.64	59.88	87.21	92.95
3623.jpg	87.12	83.16	79.23	64.42	80.59	86.87
3624.jpg	64.82	55.23	55.20	50.40	58.91	64.75
3625.jpg	94.36	75.21	56.48	46.16	78.05	94.82
3626.jpg	67.30	68.11	73.67	67.12	69.91	68.50
3627.jpg	58.71	41.75	37.32	35.60	42.43	57.42
3628.jpg	90.27	78.26	73.57	58.74	89.37	90.36
3629.jpg	77.73	81.03	65.56	47.84	69.00	77.85
363.jpg	72.60	54.99	65.90	58.32	69.60	72.81
3630.jpg	90.55	64.66	75.82	59.32	75.57	90.31
3631.jpg	72.28	76.81	83.62	69.58	84.38	79.41
3632.jpg	98.42	56.94	67.94	46.00	68.92	97.56
3633.jpg	94.60	82.24	94.02	77.87	92.06	93.17
3634.jpg	80.76	63.97	64.41	53.07	71.61	80.74
3635.jpg	85.85	36.50	57.95	33.13	58.06	74.98
3636.jpg	91.15	82.79	81.82	75.53	84.64	91.37
3637.jpg	87.02	66.34	81.37	30.31	78.95	86.81
3638.jpg	66.48	40.26	49.64	38.76	51.43	66.74
3639.jpg	81.96	71.45	64.60	58.01	74.37	81.08
364.jpg	44.99	36.38	32.25	26.16	37.92	44.36
3640.jpg	38.54	49.26	40.02	38.69	44.14	39.46
3641.jpg	53.41	31.86	46.46	33.25	38.57	49.14
3642.jpg	77.39	45.19	72.02	47.07	67.68	76.75
3643.jpg	61.03	64.71	70.19	60.57	63.65	63.16
3645.jpg	78.08	37.75	72.40	34.92	72.65	78.26
3644.jpg	82.82	75.23	62.32	45.04	83.91	82.85
3646.jpg	74.16	69.79	75.60	66.26	74.45	77.44
3647.jpg	77.72	65.33	73.89	41.96	75.29	77.77
3648.jpg	86.34	54.75	61.60	47.92	62.89	87.31
3649.jpg	87.92	77.71	78.05	68.31	84.42	87.55
365.jpg	69.09	55.43	53.08	44.05	59.88	69.44
3650.jpg	82.64	63.52	61.61	57.04	62.93	82.66
3651.jpg	92.79	94.90	44.43	40.24	93.54	92.71
3652.jpg	94.68	63.35	75.89	59.02	83.49	94.27
3653.jpg	79.72	48.07	56.62	43.71	59.89	77.16
3654.jpg	64.48	40.54	65.48	42.74	55.49	64.51
3655.jpg	94.88	74.02	84.69	75.53	86.17	95.03
3656.jpg	75.17	52.42	55.53	44.39	55.77	74.37
3658.jpg	85.99	77.49	67.53	29.84	81.04	86.07
3659.jpg	81.38	79.09	78.54	76.25	80.20	81.44
3657.jpg	62.45	36.51	73.35	32.58	53.04	63.14
366.jpg	70.49	65.14	68.82	64.59	68.97	70.55
3660.jpg	67.77	66.70	65.85	59.90	66.17	68.88
3661.jpg	47.41	37.76	41.29	44.21	47.83	48.02
3662.jpg	86.03	53.16	47.65	22.12	69.67	85.55
3663.jpg	55.93	66.84	56.22	53.73	56.37	56.30
3664.jpg	98.45	88.67	88.37	61.66	89.58	95.48
3666.jpg	94.87	52.58	81.28	50.14	78.00	94.29
3665.jpg	91.38	87.65	89.70	81.82	91.04	91.05
3667.jpg	88.88	68.69	74.41	56.65	73.71	88.14
3668.jpg	84.68	35.78	47.43	33.70	50.26	81.41
3669.jpg	42.19	28.11	40.77	34.72	42.68	42.48
367.jpg	66.56	34.34	35.44	27.94	35.78	67.52
3670.jpg	84.81	61.31	50.56	44.18	62.15	84.72
3671.jpg	68.20	56.41	49.64	48.58	62.60	68.10
3672.jpg	75.53	44.78	58.01	40.08	55.25	73.26
3673.jpg	87.19	70.01	77.41	62.18	81.26	85.85
3674.jpg	50.18	28.86	52.53	48.01	52.29	50.28
3675.jpg	90.50	62.42	70.80	51.29	79.15	90.27
3676.jpg	80.40	44.13	78.09	33.67	74.27	80.28
3677.jpg	85.40	61.57	70.14	58.57	69.76	72.88
3678.jpg	91.54	73.38	61.39	43.54	78.47	92.02
3679.jpg	82.16	46.97	69.77	64.29	72.49	81.14
368.jpg	44.36	33.47	41.11	30.40	47.75	38.07
3680.jpg	94.44	88.86	91.73	83.76	91.29	93.38
3681.jpg	82.53	64.01	74.87	27.36	80.50	83.72
3682.jpg	87.59	86.24	66.18	32.11	83.04	87.70
3683.jpg	88.52	56.64	65.73	48.28	66.30	85.66
3684.jpg	57.29	28.58	41.40	38.98	41.20	55.66
3685.jpg	95.79	83.65	80.37	63.63	86.44	94.45
3687.jpg	79.59	46.97	56.23	25.79	60.54	78.38
3686.jpg	98.29	74.62	94.72	29.43	97.24	98.26
3688.jpg	86.60	51.88	48.15	43.71	53.40	85.21
3689.jpg	92.08	62.10	58.66	55.22	67.31	92.05
369.jpg	69.03	20.38	29.11	29.16	29.83	68.14
3690.jpg	64.91	31.13	37.78	25.44	43.35	65.34
